refactoring_type;node_type;confidence;before_location;before_node;after_location;after_node
Change Method Signature;method;0.84;1259-1283;org.apache.cassandra.config.CFMetaData.toSchemaUpdate(CFMetaData, long);1412-1453;org.apache.cassandra.config.CFMetaData.toSchemaUpdate(CFMetaData, long, boolean)
Change Method Signature;method;0.75;1337-1374;org.apache.cassandra.config.CFMetaData.toSchemaNoColumns(RowMutation, long);1489-1543;org.apache.cassandra.config.CFMetaData.toSchemaNoColumnsNoTriggers(RowMutation, long)
Change Method Signature;method;0.73;872-898;org.apache.cassandra.config.CFMetaData.validateCompactionOptions(Class, Map, boolean);1051-1081;org.apache.cassandra.config.CFMetaData.validateCompactionOptions(Class, Map)
Change Method Signature;method;0.66;563-566;org.apache.cassandra.config.CFMetaData.getColumn_metadata();681-684;org.apache.cassandra.config.CFMetaData.allColumns()
Change Method Signature;method;0.69;355-358;org.apache.cassandra.config.CFMetaData.enforceSubccDefault(ColumnFamilyType, AbstractType);473-478;org.apache.cassandra.config.CFMetaData.makeComparator(ColumnFamilyType, AbstractType, AbstractType)
Change Method Signature;method;0.71;1452-1458;org.apache.cassandra.config.CFMetaData.aliasesAsStrings(List);1665-1671;org.apache.cassandra.config.CFMetaData.aliasesToJson(List)
Change Method Signature;method;0.7;1542-1553;org.apache.cassandra.config.CFMetaData.isThriftIncompatible();2025-2040;org.apache.cassandra.config.CFMetaData.isThriftCompatible()
Change Method Signature;method;0.63;1223-1236;org.apache.cassandra.config.CFMetaData.validateAlias(ByteBuffer, String);1374-1384;org.apache.cassandra.config.CFMetaData.validateAlias(ColumnDefinition, String)
Change Method Signature;method;0.93;1509-1514;org.apache.cassandra.config.CFMetaData.addColumnDefinitionSchema(CFMetaData, Row);1747-1752;org.apache.cassandra.config.CFMetaData.addColumnDefinitionsFromSchema(CFMetaData, Row)
Change Method Signature;method;0.81;1377-1431;org.apache.cassandra.config.CFMetaData.fromSchemaNoColumns(UntypedResultSet.Row);1546-1622;org.apache.cassandra.config.CFMetaData.fromSchemaNoColumnsNoTriggers(UntypedResultSet.Row)
Change Method Signature;method;0.66;548-551;org.apache.cassandra.config.CFMetaData.getColumnAliases();691-694;org.apache.cassandra.config.CFMetaData.clusteringKeyColumns()
Change Method Signature;method;0.68;543-546;org.apache.cassandra.config.CFMetaData.getKeyAliases();739-742;org.apache.cassandra.config.CFMetaData.getDroppedColumns()
Change Method Signature;method;0.63;553-556;org.apache.cassandra.config.CFMetaData.getValueAlias();448-451;org.apache.cassandra.config.CFMetaData.getTriggers()
Change Method Signature;method;0.83;375-387;org.apache.cassandra.config.CFMetaData.newSystemMetadata(String, String, Integer, String, AbstractType, AbstractType);490-499;org.apache.cassandra.config.CFMetaData.newSystemMetadata(String, String, String, AbstractType, AbstractType)
Inline Method;method;0.87;971-1029;org.apache.cassandra.config.CFMetaData.apply(CFMetaData);1526-1530;org.apache.cassandra.config.CFMetaData.updateCfDef()
Inline Method;method;0.47;1648-1657;org.apache.cassandra.config.CFMetaData.fromSchema(UntypedResultSet.Row);1526-1530;org.apache.cassandra.config.CFMetaData.updateCfDef()
Inline Method;method;0.59;458-471;org.apache.cassandra.config.CFMetaData.compile(String, String);330-343;org.apache.cassandra.config.CFMetaData.compile(Integer, String, String)
Inline Method;method;0.83;543-575;org.apache.cassandra.config.CFMetaData.copyOpts(CFMetaData, CFMetaData);297-297;org.apache.cassandra.config.CFMetaData.columnAliases(List)
Inline Method;method;0.84;543-575;org.apache.cassandra.config.CFMetaData.copyOpts(CFMetaData, CFMetaData);296-296;org.apache.cassandra.config.CFMetaData.keyAliases(List)
Change Constructor Signature;constructor;0.78;312-323;org.apache.cassandra.config.CFMetaData.CFMetaData(String, String, ColumnFamilyType, AbstractType, AbstractType, UUID);437-446;org.apache.cassandra.config.CFMetaData.CFMetaData(String, String, ColumnFamilyType, AbstractType, UUID)
