refactoring_type;node_type;confidence;before_location;before_node;after_location;after_node
Change Method Signature;method;0.81;127-174;com.google.android.exoplayer2.demo.EventLogger.onTracksChanged(TrackInfo);128-176;com.google.android.exoplayer2.demo.EventLogger.onTrackSelectionsChanged(TrackSelections)
Change Method Signature;method;0.82;92-95;com.google.android.exoplayer2.demo.EventLogger.onPositionDiscontinuity(int, long);93-96;com.google.android.exoplayer2.demo.EventLogger.onPositionDiscontinuity()
