refactoring_type;node_type;confidence;before_location;before_node;after_location;after_node
Change Method Signature;method;0.71;271-277;org.elasticsearch.cluster.routing.OperationRouting.indexMetadata(ClusterState, String);268-274;org.elasticsearch.cluster.routing.OperationRouting.indexMetadata(ProjectMetadata, String)
Change Method Signature;method;0.75;138-151;org.elasticsearch.cluster.routing.OperationRouting.computeTargetedShards(ClusterState, String[], Map);135-148;org.elasticsearch.cluster.routing.OperationRouting.computeTargetedShards(ProjectState, String[], Map)
Change Method Signature;method;0.87;61-71;org.elasticsearch.cluster.routing.OperationRouting.getShards(ClusterState, String, String, String, String);62-73;org.elasticsearch.cluster.routing.OperationRouting.getShards(ProjectState, String, String, String, String)
Change Method Signature;method;0.8;175-182;org.elasticsearch.cluster.routing.OperationRouting.collectTargetShardsNoRouting(ClusterState, String[], Set);172-179;org.elasticsearch.cluster.routing.OperationRouting.collectTargetShardsNoRouting(RoutingTable, String[], Set)
Change Method Signature;method;0.86;279-282;org.elasticsearch.cluster.routing.OperationRouting.shardId(ClusterState, String, String, String);276-279;org.elasticsearch.cluster.routing.OperationRouting.shardId(ProjectMetadata, String, String, String)
Change Method Signature;method;0.86;98-105;org.elasticsearch.cluster.routing.OperationRouting.searchShards(ClusterState, String[], Map, String);94-101;org.elasticsearch.cluster.routing.OperationRouting.searchShards(ProjectState, String[], Map, String)
Change Method Signature;method;0.82;133-136;org.elasticsearch.cluster.routing.OperationRouting.getShards(ClusterState, ShardId);130-133;org.elasticsearch.cluster.routing.OperationRouting.getShards(RoutingTable, ShardId)
Change Method Signature;method;0.81;73-83;org.elasticsearch.cluster.routing.OperationRouting.getShards(ClusterState, String, int, String);75-79;org.elasticsearch.cluster.routing.OperationRouting.getShards(ProjectState, String, int, String)
Change Method Signature;method;0.84;107-131;org.elasticsearch.cluster.routing.OperationRouting.searchShards(ClusterState, String[], Map, String, ResponseCollectorService, Map);103-128;org.elasticsearch.cluster.routing.OperationRouting.searchShards(ProjectState, String[], Map, String, ResponseCollectorService, Map)
Change Method Signature;method;0.81;153-173;org.elasticsearch.cluster.routing.OperationRouting.collectTargetShardsWithRouting(ClusterState, String[], Map, Set);150-170;org.elasticsearch.cluster.routing.OperationRouting.collectTargetShardsWithRouting(ProjectState, String[], Map, Set)
Change Method Signature;method;0.74;263-269;org.elasticsearch.cluster.routing.OperationRouting.indexRoutingTable(ClusterState, String);260-266;org.elasticsearch.cluster.routing.OperationRouting.indexRoutingTable(RoutingTable, String)
