Engine,Parsed,Conflict-free,Repo-consistent,Failed,Time,mc
git-merge,5,1,0,0,0.004288911819458008,5
imediff,4,2,0,0,0.14583086967468262,5
jfstmerge,5,2,1,0,3.984004497528076,5
jdime,5,3,1,0,9.406260967254639,5
automergeptm,5,3,1,0,9.942089080810547,5
intellimerge,4,3,1,0,1.6435277462005615,5
spork,4,4,0,1,2.8666670322418213,5
mergiraf,5,2,0,0,0.12357616424560547,5
mastery,5,1,1,0,2.1670708656311035,5
d3j,5,3,1,0,1.7780940532684326,5
