project,mc,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j
sample/sample,2,18,18,18,18,18,18,14,18,18,16
bad/broken,1,45,45,45,45,45,45,45,45,44,45
sample/twitter4j,1,19,142,0,0,0,0,,82,0,11
bad/bad,1,45,45,45,45,45,45,45,45,44,45
