project,mc,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j
sample/sample,2,0.5594594594594595,0.5594594594594595,0.5594594594594595,0.5594594594594595,0.5594594594594595,0.5594594594594595,0.5844594594594594,0.5594594594594595,0.5594594594594595,0.6
bad/broken,1,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08333333333333333,0.08163265306122448
sample/twitter4j,1,0.9941460559051661,0.9921849201981288,1.0,1.0,1.0,1.0,,0.9939714747831201,1.0,0.9989775051124744
bad/bad,1,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08333333333333333,0.08163265306122448
