project,mc,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j
sample/sample,2,4.055555555555555,4.055555555555555,4.055555555555555,4.055555555555555,4.055555555555555,4.055555555555555,3.0555555555555554,4.055555555555555,4.055555555555555,4.0
bad/broken,1,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.0,22.5
sample/twitter4j,1,0.002784290738569754,0.01575327268693144,0.0,0.0,0.0,0.0,,0.0121301775147929,0.0,0.001607717041800643
bad/bad,1,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.0,22.5
