project,index,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j
bad/bad,0,45,45,45,45,45,45,45,45,44,45
bad/broken,0,45,45,45,45,45,45,45,45,44,45
sample/sample,0,2,2,2,2,2,2,2,2,2,0
sample/sample,1,16,16,16,16,16,16,12,16,16,16
sample/twitter4j,0,19,142,0,0,0,0,,82,0,11
