refactoring_type;node_type;confidence;before_location;before_node;after_location;after_node
Change Method Signature;method;0.85;64-64;voldemort.store.nonblockingstore.NonblockingStore.submitGetRequest(ByteArray, NonblockingStoreCallback);64-64;voldemort.store.nonblockingstore.NonblockingStore.submitGetRequest(ByteArray, NonblockingStoreCallback, long)
Change Method Signature;method;0.86;70-72;voldemort.store.nonblockingstore.NonblockingStore.submitPutRequest(ByteArray, Versioned, NonblockingStoreCallback);74-77;voldemort.store.nonblockingstore.NonblockingStore.submitPutRequest(ByteArray, Versioned, NonblockingStoreCallback, long)
Change Method Signature;method;0.86;74-76;voldemort.store.nonblockingstore.NonblockingStore.submitDeleteRequest(ByteArray, Version, NonblockingStoreCallback);79-82;voldemort.store.nonblockingstore.NonblockingStore.submitDeleteRequest(ByteArray, Version, NonblockingStoreCallback, long)
Change Method Signature;method;0.85;66-66;voldemort.store.nonblockingstore.NonblockingStore.submitGetAllRequest(Iterable, NonblockingStoreCallback);66-68;voldemort.store.nonblockingstore.NonblockingStore.submitGetAllRequest(Iterable, NonblockingStoreCallback, long)
Change Method Signature;method;0.85;68-68;voldemort.store.nonblockingstore.NonblockingStore.submitGetVersionsRequest(ByteArray, NonblockingStoreCallback);70-72;voldemort.store.nonblockingstore.NonblockingStore.submitGetVersionsRequest(ByteArray, NonblockingStoreCallback, long)
