refactoring_type;node_type;confidence;before_location;before_node;after_location;after_node
Change Method Signature;method;0.84;257-320;org.apache.cassandra.service.ActiveRepairService.prepareForRepair(InetAddress, Set, Collection, List);261-326;org.apache.cassandra.service.ActiveRepairService.prepareForRepair(UUID, InetAddress, Set, RepairOption, List)
Change Method Signature;method;0.82;322-334;org.apache.cassandra.service.ActiveRepairService.registerParentRepairSession(UUID, InetAddress, List, Collection);328-337;org.apache.cassandra.service.ActiveRepairService.registerParentRepairSession(UUID, InetAddress, List, Collection, boolean, boolean)
Change Method Signature;method;0.7;128-138;org.apache.cassandra.service.ActiveRepairService.submitRepairSession(UUID, Range, String, RepairParallelism, Set, String[]);131-168;org.apache.cassandra.service.ActiveRepairService.submitRepairSession(UUID, Range, String, RepairParallelism, Set, long, ListeningExecutorService, String[])
Change Constructor Signature;constructor;0.91;500-511;org.apache.cassandra.service.ActiveRepairService.ParentRepairSession.ParentRepairSession(InetAddress, List, Collection, long, boolean);496-508;org.apache.cassandra.service.ActiveRepairService.ParentRepairSession.ParentRepairSession(InetAddress, List, Collection, boolean, boolean, long)
