refactoring_type;node_type;confidence;before_location;before_node;after_location;after_node
Change Method Signature;method;0.95;824-834;com.yahoo.vespa.config.server.ApplicationRepository.createSession(ApplicationId, TimeoutBudget, InputStream, String, DeployLogger);828-838;com.yahoo.vespa.config.server.ApplicationRepository.createSession(ApplicationId, Tags, TimeoutBudget, InputStream, String, DeployLogger)
Change Method Signature;method;0.92;836-840;com.yahoo.vespa.config.server.ApplicationRepository.createSession(ApplicationId, TimeoutBudget, File, DeployLogger);840-844;com.yahoo.vespa.config.server.ApplicationRepository.createSession(ApplicationId, Tags, TimeoutBudget, File, DeployLogger)
