refactoring_type;node_type;confidence;before_location;before_node;after_location;after_node
Change Method Signature;method;0.93;120-139;org.gradle.api.internal.artifacts.repositories.legacy.IvyDependencyResolverAdapter.resolve(ModuleVersionArtifactMetaData, BuildableArtifactResolveResult, ModuleSource);121-140;org.gradle.api.internal.artifacts.repositories.legacy.IvyDependencyResolverAdapter.resolveArtifact(ModuleVersionMetaData, ModuleVersionArtifactMetaData, BuildableArtifactResolveResult)
Change Method Signature;method;0.78;141-151;org.gradle.api.internal.artifacts.repositories.legacy.IvyDependencyResolverAdapter.getCandidateArtifacts(ModuleVersionMetaData, Class);162-177;org.gradle.api.internal.artifacts.repositories.legacy.IvyDependencyResolverAdapter.doGetCandidateArtifacts(ModuleVersionMetaData, Class)
