project,mc,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
nasa/mct,11,11,11,9,10,10,9,11,11,11,11,11
rzwitserloot/lombok,18,18,18,14,18,16,13,17,18,18,18,18
voldemort/voldemort,51,50,46,38,48,47,20,49,51,49,51,51
yusuke/twitter4j,7,7,7,6,7,7,1,6,7,7,7,7
antlr/antlr4,13,13,13,10,13,13,8,13,13,12,13,13
