project,index,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j
antlr/antlr4,8,0.013094663619995117,0.07869791984558105,,8.216758251190186,11.63150429725647,2.800816774368286,11.772942543029785,0.015558719635009766,4.545843839645386,2.5393528938293457
antlr/antlr4,11,0.01121211051940918,0.06643366813659668,2.099919557571411,2.9815850257873535,4.292837619781494,0.9852766990661621,4.314709901809692,0.029884815216064453,1.660442590713501,0.4180128574371338
antlr/antlr4,21,0.003376007080078125,0.39012980461120605,,10.628576278686523,15.044245958328247,5.503051519393921,16.264204025268555,0.6609365940093994,4.8065025806427,20.640677452087402
antlr/antlr4,22,0.002023935317993164,0.07957315444946289,2.997547149658203,4.704820156097412,4.783392906188965,1.52547025680542,6.086501359939575,0.05957221984863281,1.8555521965026855,0.6293840408325195
antlr/antlr4,30,0.008155107498168945,0.08426928520202637,3.0597426891326904,7.818678379058838,8.554064273834229,1.6781320571899414,8.843230962753296,0.011380195617675781,2.735893964767456,1.453542947769165
antlr/antlr4,33,0.0024209022521972656,0.15742015838623047,3.1612486839294434,8.30994462966919,8.703159809112549,1.0236518383026123,6.573412895202637,0.026798009872436523,3.303171396255493,3.2746684551239014
antlr/antlr4,37,0.0018298625946044922,0.08355283737182617,2.0923354625701904,2.2546348571777344,2.1317737102508545,0.7451412677764893,4.491847991943359,0.013638734817504883,1.3182637691497803,0.17399954795837402
antlr/antlr4,41,0.006106853485107422,0.16215229034423828,4.298630475997925,5.716270208358765,5.411979913711548,2.1322455406188965,7.402950286865234,0.18740320205688477,3.4038631916046143,1.509368658065796
antlr/antlr4,54,0.004884481430053711,0.08510160446166992,,3.475186824798584,3.969989538192749,2.571413993835449,4.518548250198364,0.05153775215148926,2.99375581741333,0.9692590236663818
antlr/antlr4,55,0.0025103092193603516,0.13207578659057617,3.9409589767456055,8.170065641403198,9.538238525390625,2.2923336029052734,11.866726875305176,0.032746315002441406,2.906028985977173,1.9806020259857178
antlr/antlr4,56,0.0038497447967529297,0.06744837760925293,3.4319024085998535,4.472431659698486,5.36349892616272,1.2426533699035645,7.28031849861145,0.07290816307067871,2.5807137489318848,6.755335807800293
antlr/antlr4,57,0.004822492599487305,0.17578673362731934,3.0250000953674316,6.861379861831665,7.6490724086761475,1.975480318069458,6.359529256820679,0.01872849464416504,3.12971568107605,2.8869664669036865
antlr/antlr4,61,0.003094911575317383,0.08430647850036621,2.474140167236328,1.765617847442627,1.8285181522369385,0.7981910705566406,4.167782306671143,0.05736804008483887,1.8670177459716797,0.5762324333190918
nasa/mct,1,0.0016942024230957031,0.0658564567565918,1.8487234115600586,2.8155934810638428,2.6260581016540527,0.5996212959289551,4.466611623764038,0.018799304962158203,1.379509687423706,0.6918685436248779
nasa/mct,9,0.004260540008544922,0.09879612922668457,4.70328950881958,7.971644401550293,8.419720649719238,1.9179916381835938,12.059168815612793,0.3132481575012207,5.024973392486572,1.5525951385498047
nasa/mct,11,0.0019664764404296875,0.11511516571044922,4.435983896255493,8.355292081832886,7.204238414764404,1.3923819065093994,7.73042368888855,0.012494802474975586,2.3348453044891357,0.9181492328643799
nasa/mct,13,0.0008416175842285156,0.02500462532043457,1.6237902641296387,1.7135543823242188,1.5480289459228516,0.637169361114502,2.0967841148376465,0.008653402328491211,1.4204301834106445,0.2214512825012207
nasa/mct,15,0.0010006427764892578,0.10328507423400879,4.319427013397217,,,1.351729154586792,9.106311321258545,0.23801183700561523,2.2741870880126953,1.0018792152404785
nasa/mct,16,0.004148244857788086,0.09350395202636719,6.235273599624634,3.005037307739258,4.563273906707764,1.143723487854004,7.050925970077515,0.15825963020324707,2.3538122177124023,2.4816715717315674
nasa/mct,23,0.003995656967163086,0.0591890811920166,,2.497119426727295,3.3948283195495605,1.7294797897338867,4.2122719287872314,0.09139108657836914,2.0750136375427246,0.9442138671875
nasa/mct,26,0.0036971569061279297,0.05744600296020508,3.079699754714966,3.3114266395568848,3.2578113079071045,1.1497671604156494,6.997218370437622,0.007119417190551758,2.263932466506958,0.36351537704467773
nasa/mct,31,0.0017085075378417969,0.06047844886779785,2.5395565032958984,7.560879707336426,7.428491592407227,1.3366384506225586,4.539909839630127,0.07082462310791016,1.799041509628296,0.3169586658477783
nasa/mct,32,0.0033719539642333984,0.08694839477539062,3.6102609634399414,4.662012100219727,6.883976936340332,1.6091139316558838,6.593322277069092,0.10077595710754395,3.0738437175750732,1.2726161479949951
nasa/mct,37,0.006783246994018555,0.1470654010772705,,27.46186852455139,28.46900749206543,2.8890018463134766,10.744801998138428,0.1429595947265625,4.150944948196411,2.6335742473602295
rzwitserloot/lombok,8,0.00156402587890625,0.03170061111450195,,2.8574109077453613,3.5766782760620117,1.8052825927734375,3.3509230613708496,0.010790348052978516,2.202908992767334,0.9830946922302246
rzwitserloot/lombok,10,0.0019526481628417969,0.12889814376831055,3.4605677127838135,5.133290767669678,4.49424934387207,2.1371123790740967,5.40252161026001,0.07548642158508301,2.496166467666626,0.602592945098877
rzwitserloot/lombok,11,0.003515005111694336,0.18625330924987793,7.1136603355407715,9.867013931274414,12.802916288375854,2.7540712356567383,12.839605331420898,0.29877305030822754,6.168005466461182,3.685854911804199
rzwitserloot/lombok,16,0.002018451690673828,0.03603863716125488,,5.161226749420166,5.772379159927368,1.9293792247772217,8.238581895828247,0.05823087692260742,3.720212459564209,1.3517382144927979
rzwitserloot/lombok,22,0.0064105987548828125,0.09781026840209961,3.033160924911499,7.4151530265808105,8.718789100646973,2.176943302154541,12.303104639053345,0.02073216438293457,3.4890329837799072,2.470571279525757
rzwitserloot/lombok,25,0.002209901809692383,0.13700604438781738,5.472841262817383,11.647645950317383,12.608319282531738,1.7067322731018066,12.834555864334106,0.011579751968383789,4.560534715652466,3.874208450317383
rzwitserloot/lombok,37,0.003815174102783203,0.26112937927246094,6.398510456085205,11.739863395690918,13.755258798599243,2.0489649772644043,15.202314853668213,0.28870105743408203,4.4395432472229,3.8583030700683594
rzwitserloot/lombok,41,0.002867460250854492,0.11414027214050293,3.3295559883117676,5.534881830215454,5.702359914779663,1.1060526371002197,5.91748046875,0.02027273178100586,3.3069677352905273,1.3273725509643555
rzwitserloot/lombok,45,0.0009129047393798828,0.0629575252532959,1.1362481117248535,1.7867779731750488,1.9103302955627441,0.6185674667358398,2.9985334873199463,0.004157543182373047,0.8322019577026367,0.42629337310791016
rzwitserloot/lombok,47,0.006646394729614258,0.041988372802734375,,5.6081602573394775,5.276317834854126,1.289724349975586,8.207459688186646,0.014391899108886719,3.1003830432891846,1.6209547519683838
rzwitserloot/lombok,50,0.0038003921508789062,0.05410122871398926,1.9539539813995361,3.669471263885498,3.9951608180999756,0.9788939952850342,4.472424507141113,0.014707803726196289,1.5158488750457764,0.5196585655212402
rzwitserloot/lombok,55,0.004687309265136719,0.07913875579833984,3.177121877670288,3.748919725418091,5.392941236495972,1.3257348537445068,6.227882146835327,0.013168096542358398,3.057110071182251,1.3524715900421143
rzwitserloot/lombok,60,0.002391338348388672,0.048236846923828125,2.859605550765991,1.9401617050170898,2.037562131881714,1.0026881694793701,4.904493093490601,0.014798879623413086,1.9240119457244873,0.8273448944091797
rzwitserloot/lombok,62,0.003996610641479492,0.06737685203552246,,3.277829647064209,3.258239507675171,2.4774105548858643,,0.1317453384399414,2.387943744659424,0.5418136119842529
rzwitserloot/lombok,67,0.0054018497467041016,0.11468935012817383,2.5510270595550537,3.3012795448303223,3.6574630737304688,1.1378498077392578,6.717895030975342,0.027032852172851562,2.4026317596435547,0.5942533016204834
rzwitserloot/lombok,70,0.0041921138763427734,0.061805009841918945,2.147212505340576,2.659897565841675,2.067190170288086,1.1404521465301514,3.843317985534668,0.009458303451538086,1.308708667755127,0.5423069000244141
rzwitserloot/lombok,72,0.006764888763427734,0.023774385452270508,1.516075849533081,2.2269179821014404,2.846978187561035,1.1104307174682617,4.038820266723633,0.009363651275634766,1.5262432098388672,0.22057580947875977
rzwitserloot/lombok,76,0.005566835403442383,0.20958304405212402,6.287958383560181,9.972443342208862,10.208208560943604,1.6196143627166748,10.761225938796997,0.04367995262145996,5.348905086517334,3.1291043758392334
voldemort/voldemort,2,0.0008604526519775391,0.058046579360961914,3.025554895401001,3.172672986984253,4.019327640533447,0.7887022495269775,7.301326751708984,0.014299631118774414,2.9038610458374023,0.6354608535766602
voldemort/voldemort,10,0.0008897781372070312,0.05984020233154297,1.6055221557617188,1.905219316482544,2.2141222953796387,0.9238910675048828,3.0986335277557373,0.009282588958740234,1.3790881633758545,0.35490942001342773
