project,mc,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
nasa/mct,11,4,4,4,2,2,4,1,5,5,5,11
rzwitserloot/lombok,18,12,15,11,0,0,5,0,15,12,16,18
voldemort/voldemort,51,30,35,27,2,2,22,3,38,31,38,51
yusuke/twitter4j,7,1,0,4,3,3,3,1,3,5,4,7
antlr/antlr4,13,6,8,7,1,1,6,0,10,8,10,13
