project,mc,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
nasa/mct,11,0.9721403181014246,0.9602808403747262,0.9696611888800492,0.9829660128175697,0.9741223224244505,0.9729630735498865,0.9705938386703821,0.9747171430752257,0.970061587370505,0.9926312301823865,1.0
rzwitserloot/lombok,18,0.9685508569977677,0.9680024504363383,0.9719953135766782,0.9482613528635431,0.941543221517458,0.9707997790267555,0.9665690320895499,0.9778897687006993,0.9776811013208002,0.9779011390559091,1.0
voldemort/voldemort,51,0.9859262939682989,0.9873326195011523,0.9833232508846524,0.9738364169993742,0.9745187712049226,0.9439635958630016,0.9817141074965386,0.9895547626780465,0.9864901107097395,0.9924355721780903,1.0
yusuke/twitter4j,7,0.9811784186104652,0.976239983945798,1.0,0.995633628360835,0.995633628360835,0.9939262679671802,0.9865374546872094,0.9931097159199563,0.9988267462350396,0.9996334707479901,1.0
antlr/antlr4,13,0.9936318987948095,0.9989344486290654,0.9944186482599559,0.9702262116986762,0.9693530451582884,0.9945181242890315,0.990447481730026,0.9966998978274214,0.990622624491331,0.9981431986647128,1.0
