project,mc,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
nasa/mct,11,0.06545798343354262,0.021934993443406537,0.07143079578055632,0.014547740668533144,0.03634078124037729,0.06300306592054236,0.06610285273995607,0.05928357329113237,0.01212061675087764,0.0122728045970658,0.0
rzwitserloot/lombok,18,0.08473330907084942,0.08261689269798222,0.05539306836698377,0.062012090077188754,0.07823902117097965,0.09503940291237249,0.0668516689629204,0.04346485278723308,0.04387195893796639,0.04345348243202319,0.0
voldemort/voldemort,51,0.019858540932203378,0.016973207624478744,0.02677071556769696,0.030231613773359752,0.028790304258005182,0.024019076079385415,0.03255754351110642,0.011704609084131356,0.0229883576133405,0.011291249783928509,0.0
yusuke/twitter4j,7,0.04050104548711728,0.05105243272231372,0.0,0.006251024121894842,0.006251024121894842,0.01252070009986147,0.027054869227420255,0.012909255720564337,0.002359983806977522,0.0006712724499988996,0.0
antlr/antlr4,13,0.011088115945892941,0.001864828812962241,0.00934050845729302,0.0253754260627599,0.029042765074748147,0.010058460197264361,0.0180846011862691,0.005261503578521782,0.01630124958586587,0.0037581121388483006,0.0
