project,index,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
voldemort/voldemort,219,0,0,0,0,0,0,0,0,0,0,0
voldemort/voldemort,220,0,0,0,0,0,0,0,0,0,0,0
voldemort/voldemort,222,0,0,0,0,0,0,0,0,0,0,0
voldemort/voldemort,225,0,0,,0,0,0,0,0,0,0,0
voldemort/voldemort,230,0,0,0,0,0,0,0,0,0,0,0
voldemort/voldemort,232,1,0,1,1,0,1,0,1,1,2,0
voldemort/voldemort,233,0,0,0,0,0,0,0,0,0,0,0
voldemort/voldemort,241,1,1,0,0,0,0,1,1,1,0,0
voldemort/voldemort,242,0,0,0,0,0,0,0,0,0,0,0
voldemort/voldemort,244,0,0,0,,,0,0,0,0,0,0
voldemort/voldemort,249,0,0,1,1,0,1,0,0,1,0,0
voldemort/voldemort,251,24,326,21,123,95,20,,23,22,125,0
yusuke/twitter4j,4,1,1,0,0,0,0,0,0,0,0,0
yusuke/twitter4j,11,1,1,0,0,0,0,0,0,0,0,0
yusuke/twitter4j,17,1,0,,0,0,1,0,0,0,0,0
yusuke/twitter4j,33,0,1,0,0,0,0,0,0,0,0,0
yusuke/twitter4j,49,0,0,2,0,0,0,0,2,0,2,0
yusuke/twitter4j,50,1,1,2,0,0,0,0,0,0,0,0
yusuke/twitter4j,51,0,1,0,0,0,0,,1,0,1,0
