project,mc,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
nasa/mct,11,1036,519,906,301,672,971,1021,916,304,314,0
rzwitserloot/lombok,18,1228,1189,895,1587,3121,2248,1479,878,915,877,0
voldemort/voldemort,51,2457,5841,1374,5262,2520,1903,1550,1133,2425,938,0
yusuke/twitter4j,7,221,197,0,44,44,74,142,105,94,13,0
antlr/antlr4,13,182,31,124,571,613,181,651,99,547,72,0
