project,mc,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
nasa/mct,11,4,5,6,7,7,7,9,7,8,9,11
rzwitserloot/lombok,18,12,16,13,15,16,15,17,17,16,17,18
voldemort/voldemort,51,32,40,30,36,40,37,43,42,40,44,51
yusuke/twitter4j,7,3,2,4,7,7,6,6,5,7,5,7
antlr/antlr4,13,6,9,7,10,11,10,11,11,9,11,13
