refactoring_type;node_type;confidence;before_location;before_node;after_location;after_node
Change Method Signature;method;0.66;256-272;io.realm.Realm.getRealmJson();248-264;io.realm.Realm.getDefaultMediator()
Inline Method;method;0.79;1402-1407;io.realm.Realm.checkHasPrimaryKey(E);1822-1829;io.realm.Realm.getClassSimpleName(Class)
