refactoring_type;node_type;confidence;before_location;before_node;after_location;after_node
Change Method Signature;method;0.96;1104-1116;org.elasticsearch.action.support.replication.TransportReplicationAction.processAfter(boolean, IndexShard, Translog.Location);1064-1076;org.elasticsearch.action.support.replication.TransportReplicationAction.processAfterWrite(boolean, IndexShard, Translog.Location)
Change Method Signature;method;0.97;667-671;org.elasticsearch.action.support.replication.TransportReplicationAction.getIndexShardOperationsCounter(ShardId);661-665;org.elasticsearch.action.support.replication.TransportReplicationAction.getIndexShardOperationsCounter(ShardId, long)
Change Constructor Signature;constructor;0.93;1054-1057;org.elasticsearch.action.support.replication.TransportReplicationAction.IndexShardReference.IndexShardReference(IndexShard);1049-1053;org.elasticsearch.action.support.replication.TransportReplicationAction.IndexShardReference.IndexShardReference(IndexShard, long)
