refactoring_type;node_type;confidence;before_location;before_node;after_location;after_node
Change Method Signature;method;0.83;150-153;org.apache.cassandra.cql3.statements.SelectStatement.forSelection(CFDefinition, Selection);149-152;org.apache.cassandra.cql3.statements.SelectStatement.forSelection(CFMetaData, Selection)
Change Method Signature;method;0.66;1449-1459;org.apache.cassandra.cql3.statements.SelectStatement.RawStatement.processRelationEntity(SelectStatement, Relation, ColumnIdentifier, CFDefinition);1428-1437;org.apache.cassandra.cql3.statements.SelectStatement.RawStatement.processRelationEntity(SelectStatement, Relation, ColumnIdentifier, ColumnDefinition)
Change Method Signature;method;0.77;1048-1058;org.apache.cassandra.cql3.statements.SelectStatement.reverse(IndexOperator);1118-1128;org.apache.cassandra.cql3.statements.SelectStatement.reverse(IndexExpression.Operator)
Change Method Signature;method;0.81;1313-1316;org.apache.cassandra.cql3.statements.SelectStatement.isReversedType(CFDefinition.Name);1292-1295;org.apache.cassandra.cql3.statements.SelectStatement.isReversedType(ColumnDefinition)
Change Method Signature;method;0.64;1860-1906;org.apache.cassandra.cql3.statements.SelectStatement.RawStatement.processOrderingClause(SelectStatement, CFDefinition);1856-1878;org.apache.cassandra.cql3.statements.SelectStatement.RawStatement.processOrderingClause(SelectStatement, CFMetaData)
Change Method Signature;method;0.7;1294-1311;org.apache.cassandra.cql3.statements.SelectStatement.addValue(Selection.ResultSetBuilder, CFDefinition.Name, ColumnGroupMap);1231-1250;org.apache.cassandra.cql3.statements.SelectStatement.addValue(Selection.ResultSetBuilder, ColumnDefinition, CQL3Row, QueryOptions)
Change Method Signature;method;0.7;261-276;org.apache.cassandra.cql3.statements.SelectStatement.pageCountQuery(QueryPager, List, int, long, int);263-278;org.apache.cassandra.cql3.statements.SelectStatement.pageCountQuery(QueryPager, QueryOptions, int, long, int)
Change Method Signature;method;0.85;1585-1598;org.apache.cassandra.cql3.statements.SelectStatement.RawStatement.getExistingRestriction(SelectStatement, CFDefinition.Name);1561-1575;org.apache.cassandra.cql3.statements.SelectStatement.RawStatement.getExistingRestriction(SelectStatement, ColumnDefinition)
Change Method Signature;method;0.69;1773-1830;org.apache.cassandra.cql3.statements.SelectStatement.RawStatement.processColumnRestrictions(SelectStatement, CFDefinition, boolean);1769-1826;org.apache.cassandra.cql3.statements.SelectStatement.RawStatement.processColumnRestrictions(SelectStatement, boolean, CFMetaData)
Change Method Signature;method;0.69;1693-1771;org.apache.cassandra.cql3.statements.SelectStatement.RawStatement.processPartitionKeyRestrictions(SelectStatement, CFDefinition, boolean);1689-1767;org.apache.cassandra.cql3.statements.SelectStatement.RawStatement.processPartitionKeyRestrictions(SelectStatement, boolean, CFMetaData)
Change Method Signature;method;0.62;244-259;org.apache.cassandra.cql3.statements.SelectStatement.execute(Pageable, ConsistencyLevel, List, int, long);246-261;org.apache.cassandra.cql3.statements.SelectStatement.execute(Pageable, QueryOptions, int, long)
Change Method Signature;method;0.72;1600-1622;org.apache.cassandra.cql3.statements.SelectStatement.RawStatement.updateRestrictionsForRelation(SelectStatement, CFDefinition.Name, SingleColumnRelation, VariableSpecifications);1577-1599;org.apache.cassandra.cql3.statements.SelectStatement.RawStatement.updateRestrictionsForRelation(SelectStatement, ColumnDefinition, SingleColumnRelation, VariableSpecifications)
Change Constructor Signature;constructor;0.93;2057-2061;org.apache.cassandra.cql3.statements.SelectStatement.CompositeComparator.CompositeComparator(List, int[]);2062-2066;org.apache.cassandra.cql3.statements.SelectStatement.CompositeComparator.CompositeComparator(List, List)
Change Constructor Signature;constructor;0.88;108-120;org.apache.cassandra.cql3.statements.SelectStatement.SelectStatement(CFDefinition, int, Parameters, Selection, Term);107-119;org.apache.cassandra.cql3.statements.SelectStatement.SelectStatement(CFMetaData, int, Parameters, Selection, Term)
Change Constructor Signature;constructor;0.81;2037-2041;org.apache.cassandra.cql3.statements.SelectStatement.SingleColumnComparator.SingleColumnComparator(int, AbstractType);2042-2046;org.apache.cassandra.cql3.statements.SelectStatement.SingleColumnComparator.SingleColumnComparator(int, Comparator)
