refactoring_type;node_type;confidence;before_location;before_node;after_location;after_node
Change Method Signature;method;0.63;128-132;org.apache.cassandra.cql3.statements.CreateIndexStatement.changeType();156-160;org.apache.cassandra.cql3.statements.CreateIndexStatement.changeEvent()
Change Method Signature;method;0.66;106-126;org.apache.cassandra.cql3.statements.CreateIndexStatement.announceMigration();121-154;org.apache.cassandra.cql3.statements.CreateIndexStatement.announceMigration(boolean)
Change Constructor Signature;constructor;0.9;47-58;org.apache.cassandra.cql3.statements.CreateIndexStatement.CreateIndexStatement(CFName, String, ColumnIdentifier, IndexPropDefs, boolean);51-62;org.apache.cassandra.cql3.statements.CreateIndexStatement.CreateIndexStatement(CFName, String, IndexTarget, IndexPropDefs, boolean)
