refactoring_type;node_type;confidence;before_location;before_node;after_location;after_node
Change Method Signature;method;0.86;782-783;org.elasticsearch.indices.cluster.IndicesClusterStateService.AllocatedIndices.createIndex(NodeServicesProvider, IndexMetaData, List);808-809;org.elasticsearch.indices.cluster.IndicesClusterStateService.AllocatedIndices.createIndex(NodeServicesProvider, IndexMetaData, List, Consumer)
Change Method Signature;method;0.67;531-559;org.elasticsearch.indices.cluster.IndicesClusterStateService.updateShard(DiscoveryNodes, ShardRouting, Shard);541-577;org.elasticsearch.indices.cluster.IndicesClusterStateService.updateShard(DiscoveryNodes, ShardRouting, Shard, IndexShardRoutingTable)
Change Constructor Signature;constructor;0.85;106-118;org.elasticsearch.indices.cluster.IndicesClusterStateService.IndicesClusterStateService(Settings, IndicesService, ClusterService, ThreadPool, RecoveryTargetService, ShardStateAction, NodeMappingRefreshAction, RepositoriesService, RestoreService, SearchService, SyncedFlushService, RecoverySource, NodeServicesProvider);111-124;org.elasticsearch.indices.cluster.IndicesClusterStateService.IndicesClusterStateService(Settings, IndicesService, ClusterService, ThreadPool, RecoveryTargetService, ShardStateAction, NodeMappingRefreshAction, RepositoriesService, RestoreService, SearchService, SyncedFlushService, RecoverySource, NodeServicesProvider, GlobalCheckpointSyncAction)
Change Constructor Signature;constructor;0.98;121-142;org.elasticsearch.indices.cluster.IndicesClusterStateService.IndicesClusterStateService(Settings, AllocatedIndices, ClusterService, ThreadPool, RecoveryTargetService, ShardStateAction, NodeMappingRefreshAction, RepositoriesService, RestoreService, SearchService, SyncedFlushService, RecoverySource, NodeServicesProvider);127-150;org.elasticsearch.indices.cluster.IndicesClusterStateService.IndicesClusterStateService(Settings, AllocatedIndices, ClusterService, ThreadPool, RecoveryTargetService, ShardStateAction, NodeMappingRefreshAction, RepositoriesService, RestoreService, SearchService, SyncedFlushService, RecoverySource, NodeServicesProvider, Consumer)
