project,index,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
rstudio/rstudio,555,0,0,,3,3,2,0,0,0,0,0
soot-oss/soot,239,2,2,2,8,8,176,,2,34,2,0
typetools/checker-framework,99,0,0,0,75,75,2,94,0,0,0,0
typetools/checker-framework,353,7,2,2,12,12,2,36,1,1,1,0
uyuni-project/uyuni,105,0,0,,42,42,3,73,0,0,0,0
uyuni-project/uyuni,154,0,0,,5,5,0,81,0,0,0,0
uyuni-project/uyuni,159,0,0,0,0,0,0,0,0,0,0,0
vespa-engine/vespa,143,0,0,,89,89,1,4810,0,0,0,0
vespa-engine/vespa,306,0,0,0,10,10,2,1,0,0,0,0
vespa-engine/vespa,378,0,0,0,9,9,0,23,0,0,0,0
vespa-engine/vespa,448,0,0,0,14,14,3,14,0,0,0,0
vespa-engine/vespa,537,0,0,0,8,8,0,21,0,0,0,0
