project,mc,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
metasfresh/metasfresh,14,0.04508328437805176,1.2131707668304443,36.13734412193298,81.266428232193,89.3838837146759,25.88611388206482,80.09437656402588,1.6405107975006104,37.18384027481079,21.234816312789917,
elastic/elasticsearch,11,0.045648813247680664,0.9224169254302979,22.386824131011963,98.15008091926575,103.23890447616577,22.183957815170288,87.52917456626892,0.41994428634643555,31.057499885559082,15.88973069190979,
bisq-network/bisq,6,0.015322208404541016,0.3904547691345215,13.585339069366455,29.39504861831665,30.94607448577881,6.533200740814209,24.69748044013977,0.2788419723510742,13.519864082336426,8.5778067111969,
vespa-engine/vespa,5,0.01395416259765625,0.4376833438873291,12.170033693313599,33.62719464302063,36.53193998336792,6.2427122592926025,31.275285720825195,0.08499693870544434,12.916539430618286,6.282612085342407,
opensearch-project/OpenSearch,6,0.0228884220123291,0.6480250358581543,11.988384246826172,58.804946422576904,67.26543259620667,10.541108131408691,59.78742790222168,0.5741519927978516,22.791009664535522,13.26806354522705,
opencast/opencast,9,0.03631877899169922,1.2379837036132812,34.30660009384155,97.51807260513306,106.12104511260986,14.984005451202393,97.485182762146,0.2079932689666748,30.632116079330444,23.602210760116577,
quarkusio/quarkus,1,0.005800485610961914,0.09671378135681152,6.006307363510132,11.666502952575684,12.560999870300293,1.9038219451904297,14.948024272918701,0.04555225372314453,3.897829532623291,6.348940849304199,
logisim-evolution/logisim-evolution,2,0.0025701522827148438,0.12905454635620117,6.489567041397095,12.41334056854248,15.010776996612549,2.016143560409546,12.563337564468384,0.036191463470458984,3.4215617179870605,2.7627880573272705,
typetools/checker-framework,2,0.008948564529418945,0.3011786937713623,12.296869277954102,22.633483409881592,26.28399395942688,6.280017375946045,28.620782375335693,0.05012679100036621,9.788629293441772,8.451301097869873,
rstudio/rstudio,3,0.005277156829833984,0.24571561813354492,3.3376457691192627,18.26119589805603,22.622488975524902,6.196041822433472,22.15588116645813,0.06569218635559082,6.737871408462524,3.454131841659546,
IntellectualSites/PlotSquared,1,0.000843048095703125,0.06431865692138672,,1.9142358303070068,1.7059452533721924,1.3865160942077637,4.088032245635986,0.045742034912109375,1.770453929901123,0.23639297485351562,
1c-syntax/bsl-language-server,1,0.003473520278930664,0.03211259841918945,0.758080005645752,1.690948724746704,2.3507027626037598,0.8766012191772461,3.3573296070098877,0.009287834167480469,1.0496315956115723,0.22758698463439941,
citrusframework/citrus,1,0.0021021366119384766,0.02697443962097168,0.6785447597503662,2.530982494354248,2.1104698181152344,0.5253496170043945,5.045644044876099,0.009310722351074219,1.1948049068450928,0.2608621120452881,
JabRef/jabref,2,0.0024042129516601562,0.12454700469970703,6.552599906921387,10.353392839431763,9.132066249847412,2.2497079372406006,16.047443866729736,0.020446300506591797,5.10986852645874,2.939488649368286,
MovingBlocks/Terasology,3,0.009697675704956055,0.18053150177001953,6.284197092056274,11.222395420074463,12.267855167388916,2.8496499061584473,16.298850059509277,0.17083311080932617,5.861046552658081,2.7446868419647217,
liquibase/liquibase,5,0.030074357986450195,0.6363768577575684,17.247143030166626,54.89961814880371,56.95520877838135,9.613171100616455,49.62138605117798,0.23732733726501465,20.78351354598999,19.2005877494812,
hazelcast/hazelcast,6,0.014521360397338867,0.3447301387786865,15.105530500411987,31.23752188682556,30.37801718711853,5.222514867782593,29.589741945266724,0.0834195613861084,12.87349796295166,4.2010369300842285,
aidenlab/Juicebox,2,0.008945703506469727,0.4535074234008789,13.69698190689087,52.768577575683594,60.92591166496277,5.838636636734009,32.914223194122314,0.808396577835083,12.15221619606018,12.71297001838684,
soot-oss/soot,1,0.0009505748748779297,0.028423547744750977,2.511317014694214,3.1903581619262695,2.75264835357666,1.036241054534912,,0.05390644073486328,2.007833480834961,0.30381107330322266,
hashgraph/hedera-services,3,0.0025327205657958984,0.10983943939208984,3.1132924556732178,11.97551941871643,11.031699180603027,3.1957783699035645,9.849366903305054,0.023158550262451172,3.694411277770996,1.090667963027954,
uyuni-project/uyuni,3,0.016312599182128906,0.5393414497375488,2.0074095726013184,40.04736804962158,43.18000912666321,10.848854780197144,44.422953844070435,0.10663747787475586,15.076829195022583,11.965262651443481,
cBioPortal/cbioportal,2,0.010454177856445312,0.2189161777496338,7.082741737365723,10.389965295791626,11.293712139129639,1.6347839832305908,14.265660762786865,0.07378625869750977,5.107439279556274,3.0034098625183105,
apache/shardingsphere,1,0.0037908554077148438,0.05769968032836914,,3.513249397277832,2.537222385406494,0.9703943729400635,3.7667734622955322,0.011213302612304688,1.9055101871490479,0.6064181327819824,
hub4j/github-api,1,0.006925821304321289,0.31587982177734375,4.018954515457153,27.08713984489441,23.572137117385864,1.6613376140594482,12.323964357376099,0.02400803565979004,4.311626434326172,4.4452338218688965,
apache/dolphinscheduler,3,0.006187915802001953,0.2613077163696289,4.525793075561523,18.491336822509766,19.554997444152832,3.4958786964416504,16.2052960395813,0.07704710960388184,4.9091057777404785,1.5097708702087402,
