project,index,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j
1c-syntax/bsl-language-server,59,0.003473520278930664,0.03211259841918945,0.758080005645752,1.690948724746704,2.3507027626037598,0.8766012191772461,3.3573296070098877,0.009287834167480469,1.0496315956115723,0.22758698463439941
IntellectualSites/PlotSquared,237,0.000843048095703125,0.06431865692138672,,1.9142358303070068,1.7059452533721924,1.3865160942077637,4.088032245635986,0.045742034912109375,1.770453929901123,0.23639297485351562
JabRef/jabref,12,0.0011751651763916016,0.07626771926879883,2.6069300174713135,2.788496255874634,2.214320182800293,0.8709590435028076,6.143075942993164,0.003448963165283203,2.4800052642822266,0.5824441909790039
JabRef/jabref,1042,0.0012290477752685547,0.0482792854309082,3.9456698894500732,7.564896583557129,6.917746067047119,1.378748893737793,9.904367923736572,0.016997337341308594,2.6298632621765137,2.3570444583892822
MovingBlocks/Terasology,62,0.0010523796081542969,0.0811617374420166,2.655146837234497,5.296730041503906,6.109473466873169,1.479745626449585,7.552543640136719,0.11388659477233887,2.3404881954193115,1.802351951599121
MovingBlocks/Terasology,64,0.006277322769165039,0.07408571243286133,2.4252560138702393,3.6499786376953125,4.140960931777954,1.0759577751159668,4.884036302566528,0.03785371780395508,2.1602048873901367,0.6264050006866455
MovingBlocks/Terasology,594,0.0023679733276367188,0.0252840518951416,1.203794240951538,2.275686740875244,2.017420768737793,0.2939465045928955,3.8622701168060303,0.019092798233032227,1.3603534698486328,0.3159298896789551
PhotonVision/photonvision,8,0.0007498264312744141,0.02350163459777832,0.6461265087127686,0.7613873481750488,0.8741562366485596,0.2872908115386963,1.842951774597168,0.00820612907409668,0.5365583896636963,0.15565896034240723
Railcraft/Railcraft,214,0.0009322166442871094,0.07977795600891113,,2.1439833641052246,2.83534836769104,1.4404361248016357,4.76712441444397,0.013115882873535156,1.5860304832458496,0.20117974281311035
TeamNewPipe/NewPipe,239,0.0011892318725585938,0.06145215034484863,6.093839406967163,22.744648456573486,21.23561716079712,2.071678876876831,9.314942359924316,0.04260873794555664,4.476147651672363,2.3367342948913574
TeamNewPipe/NewPipe,286,0.004237651824951172,0.05970406532287598,2.9748027324676514,15.272959470748901,15.6483633518219,1.4280152320861816,9.33757209777832,0.02125859260559082,4.501975774765015,2.798990488052368
aidenlab/Juicebox,18,0.005791902542114258,0.09326624870300293,2.9847984313964844,3.695162296295166,3.777547836303711,1.6067988872528076,4.90846848487854,0.1644606590270996,2.5942223072052,1.2132477760314941
aidenlab/Juicebox,193,0.0031538009643554688,0.360241174697876,10.712183475494385,49.07341527938843,57.14836382865906,4.231837749481201,28.005754709243774,0.6439359188079834,9.55799388885498,11.499722242355347
apache/beam,695,0.0008740425109863281,0.025690555572509766,0.7661314010620117,0.6365108489990234,0.6789345741271973,0.2613060474395752,0.8805816173553467,0.0036225318908691406,0.34247922897338867,0.12840795516967773
apache/dolphinscheduler,75,0.0029153823852539062,0.07108330726623535,2.432978630065918,10.411734104156494,11.611693859100342,0.9841361045837402,6.919452428817749,0.005701541900634766,1.3111250400543213,0.2381610870361328
apache/dolphinscheduler,131,0.0009183883666992188,0.08130335807800293,2.0928144454956055,2.745638370513916,2.410825252532959,1.1373815536499023,4.078688383102417,0.05917978286743164,1.5713212490081787,0.6823511123657227
