project,index,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j
FasterXML/jackson-core,6,0.434246301651001,,26.337282180786133,25.96949291229248,6.4806602001190186,27.93382954597473,0.7838916778564453,10.431872606277466,13.317206144332886
FasterXML/jackson-core,52,0.1190645694732666,6.994273662567139,4.394999980926514,5.55374813079834,8.144019365310669,7.795485496520996,0.204545259475708,2.750683069229126,3.4955666065216064
FasterXML/jackson-core,58,0.38959193229675293,,23.05906081199646,25.320420503616333,5.8286356925964355,29.28161334991455,0.5443837642669678,9.136488199234009,12.477295160293579
MinecraftForge/MinecraftForge,3,0.05712270736694336,2.407198429107666,0.7801046371459961,1.2008521556854248,1.9497385025024414,2.35605788230896,0.013107061386108398,0.8048539161682129,0.9752981662750244
MozeIntel/ProjectE,22,0.024912118911743164,0.6539554595947266,2.4397804737091064,1.7107479572296143,0.348905086517334,2.555384874343872,0.03629159927368164,1.5104730129241943,0.23722147941589355
MozeIntel/ProjectE,32,0.10671806335449219,1.5305228233337402,1.5609545707702637,1.301079511642456,1.7735927104949951,2.528231620788574,0.013984203338623047,1.180919885635376,0.3296177387237549
MozeIntel/ProjectE,33,0.050302982330322266,2.0547802448272705,0.4084508419036865,0.41580843925476074,1.3566961288452148,4.21371865272522,0.04263710975646973,1.2794573307037354,0.4575223922729492
alibaba/druid,2,0.14391183853149414,5.820777177810669,17.764112949371338,15.155514001846313,2.7481250762939453,10.986818313598633,0.5503675937652588,3.372810125350952,2.5453689098358154
alibaba/druid,6,0.20021390914916992,3.5167877674102783,13.250790119171143,16.106112241744995,1.6186037063598633,7.560116767883301,0.2967953681945801,4.042720794677734,3.443450689315796
android/platform_frameworks_support,15,0.025728225708007812,0.9588198661804199,3.090665340423584,1.9807665348052979,0.7179265022277832,2.2788007259368896,0.02684164047241211,2.0732004642486572,0.20828533172607422
antlr/antlr4,15,0.04479265213012695,3.1326711177825928,4.555822849273682,5.969618558883667,1.437049388885498,7.146978139877319,0.12579774856567383,2.8972060680389404,0.8672480583190918
antlr/antlr4,39,0.8093018531799316,,,12.887297868728638,10.446638584136963,18.988527297973633,0.5915865898132324,7.290852069854736,11.37052035331726
antlr/antlr4,58,0.20141124725341797,,5.560688018798828,3.980093479156494,4.362783432006836,9.417077779769897,0.20394611358642578,3.4277970790863037,9.641133546829224
antlr/antlr4,88,0.09572744369506836,1.604060173034668,2.715261459350586,2.3769242763519287,1.0673496723175049,3.347247362136841,0.06330704689025879,1.5582127571105957,0.2609541416168213
antlr/antlr4,162,0.045731306076049805,,0.7359983921051025,0.7420821189880371,0.31568384170532227,0.714763879776001,0.01745915412902832,0.5555684566497803,0.17775511741638184
antlr/antlr4,164,0.023601055145263672,0.5257630348205566,0.5348906517028809,0.47641944885253906,0.28526830673217773,0.9810550212860107,0.007237672805786133,0.3397085666656494,0.1765434741973877
apache/cassandra,12,0.038788795471191406,0.9069399833679199,0.9719853401184082,0.8396480083465576,1.464223861694336,,0.018407106399536133,1.0412266254425049,0.28286266326904297
apache/cassandra,36,0.04320979118347168,,7.982643365859985,8.064735889434814,5.420141220092773,9.736647129058838,0.09095144271850586,3.5261151790618896,1.56782865524292
apache/cassandra,51,0.14141106605529785,2.4434704780578613,5.894461154937744,6.894870281219482,1.6998918056488037,5.714458465576172,0.18845081329345703,2.127342939376831,1.118940830230713
apache/cassandra,61,0.07628273963928223,3.0584816932678223,4.809870481491089,5.834275960922241,0.564424991607666,5.265544652938843,0.14649581909179688,2.2459418773651123,0.7653214931488037
apache/cassandra,62,0.7714886665344238,,119.86514091491699,97.68563795089722,7.888118267059326,48.69943141937256,2.353470802307129,12.279390335083008,34.55442500114441
apache/cassandra,90,0.0739145278930664,,4.014516830444336,4.526638746261597,2.339270830154419,6.204216003417969,0.028484821319580078,2.3530683517456055,1.2681541442871094
apache/cassandra,113,0.30101871490478516,,,,8.327108144760132,20.503559589385986,0.31690549850463867,5.725335597991943,3.814551591873169
apache/cassandra,165,0.1343369483947754,,8.348340272903442,7.3824217319488525,1.978667974472046,,0.10266923904418945,3.4391844272613525,1.562537670135498
apache/cassandra,231,0.0527346134185791,2.64384126663208,3.252955198287964,3.8633153438568115,1.7304422855377197,4.740984916687012,0.02752089500427246,1.6741142272949219,0.3536803722381592
apache/cassandra,276,0.0501253604888916,,6.278740882873535,7.477417230606079,3.5283138751983643,,0.12929320335388184,2.9725258350372314,2.614412546157837
apache/cassandra,282,0.06106424331665039,1.47786283493042,1.6073074340820312,2.122887134552002,1.5230772495269775,3.469888687133789,0.032453060150146484,1.0220556259155273,0.3322882652282715
apache/cassandra,286,0.10219693183898926,,4.602990627288818,4.481123685836792,2.2096312046051025,3.9499013423919678,0.08214139938354492,2.0467424392700195,1.0521421432495117
apache/cassandra,321,0.07144570350646973,3.0861942768096924,2.9733574390411377,2.271218776702881,1.9937171936035156,5.076836585998535,0.06051301956176758,2.2772867679595947,0.6752066612243652
apache/cassandra,330,0.08328866958618164,1.7520811557769775,5.2503416538238525,4.837942600250244,1.4405312538146973,7.803530931472778,0.12250542640686035,2.758458375930786,1.0155549049377441
apache/cassandra,339,0.06800198554992676,3.6944706439971924,0.856391191482544,0.9428386688232422,2.5763423442840576,,0.14066267013549805,2.205018997192383,1.4700970649719238
apache/cassandra,343,0.07663178443908691,,,13.127411365509033,7.629067897796631,11.872520446777344,0.40879201889038086,4.70819616317749,3.5144104957580566
apache/cassandra,367,0.1390988826751709,,,2.7588324546813965,1.8330504894256592,5.430899381637573,0.09252715110778809,1.655839204788208,1.1134929656982422
apache/cassandra,466,0.06121253967285156,,6.743107318878174,7.61361289024353,4.941121339797974,7.274481296539307,0.15331792831420898,3.823011875152588,2.2610349655151367
apache/cassandra,485,0.20524001121520996,,7.630089521408081,7.169771432876587,4.296627998352051,10.68796682357788,0.3778855800628662,3.0079402923583984,2.055687427520752
apache/cassandra,490,0.0757601261138916,0.6927220821380615,2.1227822303771973,2.5763378143310547,0.5094265937805176,1.7908935546875,0.07932853698730469,1.7198703289031982,0.5784342288970947
apache/cassandra,576,0.15639853477478027,4.36591362953186,6.251037359237671,6.757086277008057,1.5376529693603516,7.052949905395508,0.09388327598571777,3.492171287536621,1.2572276592254639
